                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9623,                 7.7217,                  3.963,                      0,                      0,                      0,                      0,                  4.793,                 7.4321,                 5.6704,                  6e-05,                  6e-05,                  6e-05
                      2,                 4.0231,                 5.1201,                 3.8177,                      0,                      0,                      0,                      0,                 5.0717,                 7.7236,                  8.981,             0.00013965,             0.00013965,             0.00013965
                      3,                 3.0006,                 3.8242,                 2.9535,                0.00333,                      1,                0.07107,                0.00711,                 4.8272,                 5.7587,                 7.3506,             0.00021891,             0.00021891,             0.00021891
                      4,                 2.5573,                 3.0018,                 3.1754,                0.00333,                      1,                0.07107,                0.00711,                  4.593,                 6.2145,                 5.5192,             0.00029777,             0.00029777,             0.00029777
                      5,                 2.3067,                 3.5048,                  2.605,                0.48824,                      1,                  0.995,                 0.0995,                  4.601,                 4.7778,                 5.4271,             0.00037624,             0.00037624,             0.00037624
                      6,                 1.6237,                 5.0793,                 2.1676,                0.90249,                      1,                  0.995,                 0.0995,                  4.548,                 4.5594,                 5.1185,             0.00045431,             0.00045431,             0.00045431
                      7,                 2.1885,                 2.2796,                 3.1303,                 0.9341,                      1,                  0.995,                  0.199,                 4.6897,                 4.8915,                 5.1562,             0.00053198,             0.00053198,             0.00053198
                      8,                 2.2158,                 2.1266,                 2.5135,                0.76649,                      1,                  0.995,                 0.0995,                 4.5189,                 5.6279,                 4.9733,             0.00060926,             0.00060926,             0.00060926
                      9,                 2.2515,                  1.813,                 2.7099,                  0.875,                      1,                  0.995,                 0.0995,                 4.3747,                 5.4187,                 4.3948,             0.00068614,             0.00068614,             0.00068614
                     10,                 2.1382,                 1.8034,                 2.5255,                  0.875,                      1,                  0.995,                 0.0995,                 4.5712,                 5.5553,                 4.4731,             0.00076263,             0.00076263,             0.00076263
                     11,                 2.3362,                 1.8157,                 2.7587,                  0.875,                      1,                  0.995,                 0.0995,                 4.4495,                 4.9635,                 3.7012,             0.00083871,             0.00083871,             0.00083871
                     12,                 2.1373,                 1.8367,                 2.9105,                 0.4734,                      1,                 0.4975,                0.04975,                 4.6275,                 7.0673,                 4.2232,             0.00091441,             0.00091441,             0.00091441
                     13,                 2.2689,                 1.8039,                 3.3678,                 0.4734,                      1,                 0.4975,                0.04975,                 4.7948,                 4.4677,                  6.327,             0.00098971,             0.00098971,             0.00098971
