                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5149,                 8.2485,                 4.8578,                      0,                      0,                      0,                      0,                 3.0113,                 7.4669,                 2.0837,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.1156,                 7.4482,                 4.4159,                      0,                      0,                      0,                      0,                 3.3467,                 7.5289,                 2.3444,             5.9852e-05,             5.9852e-05,             5.9852e-05
                      3,                 5.1893,                 7.5066,                 4.4665,                      0,                      0,                      0,                      0,                  3.427,                 7.9681,                 2.8443,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      4,                 4.5855,                 5.6696,                 3.7804,                      0,                      0,                      0,                      0,                  3.263,                 7.5648,                 3.3308,             0.00013896,             0.00013896,             0.00013896
                      5,                 4.1178,                 5.0223,                 3.2059,                      0,                      0,                      0,                      0,                 3.9928,                 5.2913,                 5.5323,             0.00017822,             0.00017822,             0.00017822
                      6,                 3.4975,                 4.1534,                 3.5483,                0.00333,                      1,                0.03431,                0.00343,                 3.5802,                 4.1704,                 6.4638,             0.00021728,             0.00021728,             0.00021728
                      7,                 3.3783,                 3.9707,                 3.0562,                0.00978,                      1,                0.33167,                0.06633,                 3.2351,                 4.3226,                 4.0669,             0.00025614,             0.00025614,             0.00025614
                      8,                 3.0798,                 3.3214,                  3.249,                0.42552,                      1,                  0.995,                 0.1194,                 3.2958,                 3.4781,                  2.951,              0.0002948,              0.0002948,              0.0002948
                      9,                  2.891,                 3.0968,                 3.1989,                0.07803,                      1,                0.16583,                0.03317,                 3.5197,                 3.3039,                 2.8133,             0.00033327,             0.00033327,             0.00033327
                     10,                  2.713,                 2.9127,                 2.8095,                0.00333,                      1,                0.06219,                0.00622,                 3.9219,                 3.6009,                 2.7372,             0.00037154,             0.00037154,             0.00037154
                     11,                 2.7553,                 2.8513,                 2.8041,                0.00333,                      1,                0.06219,                0.00622,                   3.94,                 3.4138,                 2.6476,             0.00040961,             0.00040961,             0.00040961
                     12,                 2.8729,                 2.9839,                 3.1986,                0.02617,                      1,                0.12437,                0.01244,                  3.631,                 2.8091,                 2.5257,             0.00044748,             0.00044748,             0.00044748
                     13,                 3.1159,                 2.6898,                 3.5184,                0.02617,                      1,                0.12437,                0.01244,                 3.8207,                 2.5993,                 2.5612,             0.00048515,             0.00048515,             0.00048515
                     14,                 2.9302,                 2.8194,                 2.8073,                0.23083,                      1,                 0.4975,                 0.0995,                  3.518,                 2.5803,                 2.3701,             0.00052263,             0.00052263,             0.00052263
                     15,                 2.8735,                 2.5596,                 2.6734,                0.21983,                      1,                0.24875,                0.04975,                  3.505,                 2.4776,                 2.2707,              0.0005599,              0.0005599,              0.0005599
                     16,                 2.8064,                 2.2734,                 3.1908,                0.20564,                      1,                0.24875,                0.04975,                 3.5069,                 2.6086,                 2.1973,             0.00059698,             0.00059698,             0.00059698
                     17,                  2.763,                 2.2709,                 3.4771,                0.18938,                      1,                0.24875,                0.04975,                 3.4312,                 2.4532,                 2.1789,             0.00063386,             0.00063386,             0.00063386
                     18,                 2.8365,                 2.2296,                 3.0156,                0.13703,                      1,                0.24875,                0.02488,                 3.4746,                 2.3904,                 2.1928,             0.00067055,             0.00067055,             0.00067055
                     19,                  2.856,                 2.3908,                 3.5755,                0.00333,                      1,                  0.199,                0.04201,                 3.5141,                 2.6744,                 2.2323,             0.00070703,             0.00070703,             0.00070703
                     20,                 2.6014,                 2.3105,                 3.3059,                0.00333,                      1,                 0.0995,                 0.0199,                 3.6085,                 3.3076,                 2.2811,             0.00074332,             0.00074332,             0.00074332
                     21,                 2.5573,                 1.9807,                 3.2097,                0.00333,                      1,                0.00378,                0.00076,                 3.5749,                 3.6382,                 2.2851,             0.00077941,             0.00077941,             0.00077941
                     22,                 2.3847,                 1.9671,                 3.2096,                0.00333,                      1,                0.00378,                0.00076,                 3.8301,                 4.1351,                 2.3563,              0.0008153,              0.0008153,              0.0008153
                     23,                 2.5169,                 1.8429,                 3.4321,                0.00333,                      1,                0.00378,                0.00076,                  4.238,                 4.0225,                 2.3788,               0.000851,               0.000851,               0.000851
                     24,                 3.0175,                 2.0624,                 3.0654,                0.00333,                      1,                0.00378,                0.00076,                  3.926,                 3.7772,                 2.3388,             0.00088649,             0.00088649,             0.00088649
                     25,                 2.6788,                 2.2733,                 3.3091,                0.41922,                0.83844,                 0.4975,                 0.0995,                 3.8508,                 4.2194,                 2.3769,             0.00092179,             0.00092179,             0.00092179
                     26,                 2.7154,                 2.1809,                 2.8911,                0.39263,                      1,                 0.4975,                0.11608,                 3.5547,                 3.9158,                   2.39,             0.00095689,             0.00095689,             0.00095689
                     27,                 2.8159,                 2.0417,                 3.3072,                0.62072,                      1,                  0.995,                0.10171,                 3.2056,                 3.5121,                  2.286,             0.00099179,             0.00099179,             0.00099179
